,city_id,block_id,opportunity_cost
198,360,8b30a4a92c88fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
199,360,8b30a4a9a6c5fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
200,360,8b30a4a9a6c4fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
201,360,8b30a4a9a6c3fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
202,360,8b30a4a9a6c0fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
203,360,8b30a4a9a6c1fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
204,360,8b30a4a9a6c6fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
205,360,8b30a4a9a6c2fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
206,360,8b30a4061364fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
207,360,8b30a4061365fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
208,360,8b30a4061363fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
209,360,8b30a4061360fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
210,360,8b30a4061362fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
211,360,8b30a4061366fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
212,360,8b30a4061361fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
213,360,8b30a406a78efff,"{'9': 0.37439525624116266, '10': 0.0, '11': 0.0}"
214,360,8b30a406a788fff,"{'9': 0.37439525624116266, '10': 0.0, '11': 0.0}"
215,360,8b30a406a78dfff,"{'9': 0.37439525624116266, '10': 0.0, '11': 0.0}"
216,360,8b30a406a78bfff,"{'9': 0.37439525624116266, '10': 0.0, '11': 0.0}"
217,360,8b30a406a78cfff,"{'9': 0.37439525624116266, '10': 0.0, '11': 0.0}"
218,360,8b30a406a78afff,"{'9': 0.37439525624116266, '10': 0.0, '11': 0.0}"
219,360,8b30a406a789fff,"{'9': 0.37439525624116266, '10': 0.0, '11': 0.0}"
220,360,8b30a406b866fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
221,360,8b30a406b860fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
222,360,8b30a406b865fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
223,360,8b30a406b863fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
224,360,8b30a406b861fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
225,360,8b30a406b864fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
226,360,8b30a406b862fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
227,360,8b30a406c10efff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
228,360,8b30a406c10afff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
229,360,8b30a406c108fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
230,360,8b30a406c10dfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
231,360,8b30a406c10bfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
232,360,8b30a406c10cfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
233,360,8b30a406c109fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
234,360,8b30a406d069fff,"{'9': 1.6851190513169225, '10': 0.0, '11': 0.0}"
235,360,8b30a406d06cfff,"{'9': 1.6851190513169225, '10': 0.0, '11': 0.0}"
236,360,8b30a406d06dfff,"{'9': 1.6851190513169225, '10': 0.0, '11': 0.0}"
237,360,8b30a406d06bfff,"{'9': 1.6851190513169225, '10': 0.0, '11': 0.0}"
238,360,8b30a406d06efff,"{'9': 1.6851190513169225, '10': 0.0, '11': 0.0}"
239,360,8b30a406d06afff,"{'9': 1.6851190513169225, '10': 0.0, '11': 0.0}"
240,360,8b30a406d068fff,"{'9': 1.6851190513169225, '10': 0.0, '11': 0.0}"
241,360,8b30a4a922cefff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
242,360,8b30a4a922c8fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
243,360,8b30a4a922ccfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
244,360,8b30a4a922cafff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
245,360,8b30a4a922c9fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
246,360,8b30a4a922cbfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
247,360,8b30a4a922cdfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
248,360,8b30a4a9a333fff,"{'9': 0.9335879688461621, '10': 0.0, '11': 0.0}"
249,360,8b30a4a9a336fff,"{'9': 0.9335879688461621, '10': 0.0, '11': 0.0}"
250,360,8b30a4a9a335fff,"{'9': 0.9335879688461621, '10': 0.0, '11': 0.0}"
251,360,8b30a4a9a334fff,"{'9': 0.9335879688461621, '10': 0.0, '11': 0.0}"
252,360,8b30a4a9a330fff,"{'9': 0.9335879688461621, '10': 0.0, '11': 0.0}"
253,360,8b30a4a9a331fff,"{'9': 0.9335879688461621, '10': 0.0, '11': 0.0}"
254,360,8b30a4a9a332fff,"{'9': 0.9335879688461621, '10': 0.0, '11': 0.0}"
255,360,8b30a4068894fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
256,360,8b30a4068895fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
257,360,8b30a4068896fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
258,360,8b30a4068893fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
259,360,8b30a4068890fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
260,360,8b30a4068891fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
261,360,8b30a4068892fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
262,360,8b30a4a932b6fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
263,360,8b30a4a932b3fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
264,360,8b30a4a932b5fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
265,360,8b30a4a932b1fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
266,360,8b30a4a932b2fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
267,360,8b30a4a932b4fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
268,360,8b30a4a932b0fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
269,360,8b30a406d5b3fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
270,360,8b30a406d5b0fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
271,360,8b30a406d5b1fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
272,360,8b30a406d5b6fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
273,360,8b30a406d5b2fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
274,360,8b30a4a9e6eafff,"{'9': 1.1418589651584625, '10': 0.0, '11': 0.0}"
275,360,8b30a4a9e6ebfff,"{'9': 1.1418589651584625, '10': 0.0, '11': 0.0}"
276,360,8b30a4a9e6e8fff,"{'9': 1.1418589651584625, '10': 0.0, '11': 0.0}"
277,360,8b30a4a9e6edfff,"{'9': 1.1418589651584625, '10': 0.0, '11': 0.0}"
278,360,8b30a4a9e6e9fff,"{'9': 1.1418589651584625, '10': 0.0, '11': 0.0}"
279,360,8b30a4a9e6eefff,"{'9': 1.1418589651584625, '10': 0.0, '11': 0.0}"
280,360,8b30a4a9e6ecfff,"{'9': 1.1418589651584625, '10': 0.0, '11': 0.0}"
281,360,8b30a4069a02fff,"{'9': 1.7476965934038162, '10': 0.0, '11': 0.0}"
282,360,8b30a4069a06fff,"{'9': 1.7476965934038162, '10': 0.0, '11': 0.0}"
283,360,8b30a4069a00fff,"{'9': 1.7476965934038162, '10': 0.0, '11': 0.0}"
284,360,8b30a4069a03fff,"{'9': 1.7476965934038162, '10': 0.0, '11': 0.0}"
285,360,8b30a4069a05fff,"{'9': 1.7476965934038162, '10': 0.0, '11': 0.0}"
286,360,8b30a4069a01fff,"{'9': 1.7476965934038162, '10': 0.0, '11': 0.0}"
287,360,8b30a4069a04fff,"{'9': 1.7476965934038162, '10': 0.0, '11': 0.0}"
288,360,8b30a4a93608fff,"{'9': 2.017770830541849, '10': 0.0, '11': 0.0}"
289,360,8b30a4a9360afff,"{'9': 2.017770830541849, '10': 0.0, '11': 0.0}"
290,360,8b30a4a9360efff,"{'9': 2.017770830541849, '10': 0.0, '11': 0.0}"
291,360,8b30a4a93609fff,"{'9': 2.017770830541849, '10': 0.0, '11': 0.0}"
292,360,8b30a4a9360cfff,"{'9': 2.017770830541849, '10': 0.0, '11': 0.0}"
293,360,8b30a4a9360bfff,"{'9': 2.017770830541849, '10': 0.0, '11': 0.0}"
294,360,8b30a4a9360dfff,"{'9': 2.017770830541849, '10': 0.0, '11': 0.0}"
295,360,8b30a4a9a0c4fff,"{'9': 0.8101168274879456, '10': 0.0, '11': 0.0}"
296,360,8b30a4a9a0c3fff,"{'9': 0.8101168274879456, '10': 0.0, '11': 0.0}"
297,360,8b30a4a9a0c2fff,"{'9': 0.8101168274879456, '10': 0.0, '11': 0.0}"
298,360,8b30a4a9a0c1fff,"{'9': 0.8101168274879456, '10': 0.0, '11': 0.0}"
299,360,8b30a4a9a0c5fff,"{'9': 0.8101168274879456, '10': 0.0, '11': 0.0}"
300,360,8b30a4a9a0c6fff,"{'9': 0.8101168274879456, '10': 0.0, '11': 0.0}"
301,360,8b30a4a9a0c0fff,"{'9': 0.8101168274879456, '10': 0.0, '11': 0.0}"
